	alpha0	alpha7	alpha14	alpha21	alpha28	alpha35	alpha42	alpha49	alpha56	alpha63	alpha70	alpha77	alpha84	alpha91	alpha98	alpha105	alpha112	alpha119
YER166W	0.2	0.12	-0.07	-0.09	0.15	0.01	-0.3	0.03	0.35	-0.39	0.51	-0.1	-0.14	-0.1	0.08	0.25	-0.44	-0.06
YER165W	0.09	-0.07	-0.18	-0.01	-0.34	0.06	-0.19	-0.15	0.11	0.3	0.19	0.12	-0.11	-0.04	0.05	0.3	-0.21	0.06
YER164W	-0.19	-0.12	-0.22	0.02	-0.09	0.16	-0.03	0.15	0.28	-0.29	0.47	-0.12	-0.16	-0.26	0.33	0.6	-0.29	-0.24
YER163C	-0.24	0.1	0.19	0.3	-0.11	0.26	-0.02	0.06	0.13	0.14	0.01	-0.01	-0.15	-0.29	-0.34	0.02	-0.24	0.03
YER162C	-0.1	0.24	-0.08	0.06	-0.26	-0.01	-0.23	-0.05	0.17	-0.3	0.45	-0.02	0.12	-0.15	0.08	0.34	-0.2	-0.07
YER161C	-0.24	0.11	-0.28	0.01	-0.5	0.29	-0.09	0.26	0.18	0.22	-0.01	0.19	-0.04	-0.14	-0.41	0.19	-0.07	0.33
YER160C	0.21	-0.06	0.1	-0.14	-0.07	-0.09	-0.31	0.14	0.5	-0.05	0.56	-0.11	-0.42	-0.13	0.18	0.47	-0.42	-0.34
YER159C	-0.25	0.19	-0.29	0.06	-0.6	0.32	-0.15	0.23	0.12	0.32	-0.09	-0.04	-0.12	-0.1	-0.18	0.19	0.12	0.27
YER158C	0.85	0.15	0.41	-0.25	0.23	-0.02	0.01	0.01	-0.25	-0.01	-0.04	-0.1	-0.12	-0.02	-0.36	-0.38	0.01	-0.12
YER157W	0.15	-0.08	-0.14	-0.13	-0.06	0.22	0.34	-0.18	0.05	-0.13	-0.18	0.11	0.11	-0.16	0.09	-0.05	0.08	-0.03
YER156C	0.0	-0.47	-0.23	-0.12	0.02	-0.14	0.24	0.24	0.21	0.03	-0.06	-0.04	0.05	0.18	0.0	-0.04	0.29	-0.14
YER155C	0.03	0.24	-0.13	0.24	0.35	-0.15	0.27	-0.47	-0.22	0.08	0.25	0.08	0.03	-0.35	0.76	-0.51	-0.21	-0.3
YER154W	0.21	-0.25	-0.04	-0.09	-0.06	-0.19	-0.01	-0.03	-0.04	-0.03	0.02	0.24	0.23	0.06	0.06	-0.11	0.15	-0.11
YER153C	-0.24	-0.05	-0.04	-0.07	0.25	-0.13	0.08	-0.2	-0.18	-0.07	0.13	0.35	0.35	0.11	0.0	-0.04	-0.04	-0.2
YER152C	-0.19	-0.34	0.04	0.02	0.0	-0.15	0.0	-0.13	-0.23	-0.25	0.0	0.37	0.38	0.17	0.28	0.14	0.14	-0.23
YER151C	-0.08	-0.24	-0.31	-0.02	0.15	0.13	0.32	0.25	-0.02	-0.05	-0.21	0.06	-0.08	0.02	-0.1	0.13	0.02	0.03
YER150W	0.41	1.47	1.8	0.81	0.03	-0.31	-0.18	-0.45	-0.25	-0.31	-0.25	-0.35	-0.19	-0.48	-0.55	-0.48	-0.19	-0.52
YER149C	0.02	-0.44	-0.01	0.41	0.25	0.05	0.12	-0.05	-0.18	-0.05	-0.01	0.26	0.18	-0.1	-0.22	-0.15	0.08	-0.15
YER148W	0.15	-0.35	-0.19	-0.22	0.15	-0.15	0.06	0.08	0.24	-0.15	0.05	-0.03	0.05	-0.15	0.12	-0.01	0.38	-0.01
YER147C	-0.05	-0.07	0.07	0.51	0.14	-0.18	0.04	-0.08	0.04	0.23	-0.02	-0.04	-0.15	-0.18	-0.22	-0.05	0.13	-0.12
YER146W	-0.33	-0.17	-0.29	-0.02	-0.27	0.22	-0.41	0.19	0.2	-0.33	0.32	0.16	0.23	0.03	0.12	0.35	-0.04	0.03
YER145C	-1.12	-0.85	-1.04	-0.44	-0.48	-0.11	-0.18	0.06	0.19	0.52	0.5	0.43	0.5	0.3	0.38	0.4	0.43	0.52
YER144C	0.41	-0.05	-0.2	0.0	-0.14	-0.01	-0.36	0.14	0.04	-0.25	0.13	0.09	0.07	-0.02	0.13	0.35	-0.35	0.0
YER143W	-0.42	0.47	-0.25	0.42	-0.58	0.71	-0.37	0.38	-0.11	0.35	-0.12	-0.19	-0.2	0.09	-0.33	0.03	-0.01	0.12
YER142C	0.25	0.29	0.26	-0.03	0.0	0.26	-0.28	0.18	0.05	-0.23	0.16	0.02	-0.1	-0.13	-0.32	-0.07	-0.23	-0.09
YER141W	-0.32	0.33	0.12	-0.03	-0.31	0.38	0.0	0.09	-0.09	0.21	-0.11	0.05	-0.06	-0.2	0.03	0.13	-0.13	-0.09
YER140W	-0.18	0.0	-0.21	-0.08	-0.2	0.08	-0.28	0.3	0.27	-0.2	0.24	0.0	0.0	-0.11	0.03	0.29	-0.05	0.1
YER139C	-0.19	0.21	0.11	-0.18	-0.47	0.31	-0.09	0.28	0.2	0.04	-0.01	0.1	-0.04	-0.06	-0.8	0.11	0.07	0.24
YER138C	0.29	0.35	0.0	0.15	-0.02	-0.14	0.04	-0.12	0.14	-0.02	0.04	-0.16	-0.35	-0.2	-0.04	0.23	-0.13	-0.1
YER137C	0.05	-0.13	0.19	0.14	0.16	0.18	-0.14	-0.19	0.07	-0.36	0.94	-0.58	-0.13	-0.39	0.21	-0.11	0.07	0.03
YER136W	0.19	0.17	0.25	0.42	0.08	0.11	-0.28	0.11	0.01	-0.48	0.15	0.01	-0.21	-0.18	-0.03	0.09	-0.28	-0.14
YER135C	0.0	0.15	0.17	-0.12	-0.1	0.28	-0.06	0.03	0.14	0.02	-0.3	-0.02	0.08	0.02	-0.54	0.26	-0.03	0.02
YER134C	0.21	0.12	0.36	0.09	0.06	-0.24	0.21	0.09	0.14	-0.39	-0.17	-0.3	0.12	-0.2	0.04	0.04	0.18	-0.37
YER133W	0.22	0.12	0.01	0.19	-0.03	-0.16	0.28	0.04	0.21	-0.14	0.02	-0.12	-0.06	-0.38	0.02	-0.06	0.04	-0.21
YER132C	0.27	-0.19	-0.03	-0.07	0.39	-0.24	0.29	-0.04	0.08	-0.03	0.08	-0.12	0.0	-0.26	0.21	-0.09	-0.07	-0.16
YER131W	0.21	-0.07	-0.13	-0.13	-0.03	-0.29	0.1	-0.09	0.2	0.07	0.18	-0.13	0.2	-0.13	0.11	-0.15	0.12	-0.05
YER130C	1.17	-0.44	-0.12	-0.29	0.05	-0.01	0.47	0.13	0.06	0.0	-0.29	-0.26	-0.18	-0.32	0.0	0.09	0.09	-0.15
YER129W	0.03	-0.2	-0.2	0.39	-0.32	-0.06	0.16	-0.06	0.03	0.14	-0.19	-0.05	0.03	-0.03	-0.13	0.18	0.02	0.27
YER128W	0.21	0.0	0.05	0.09	0.25	0.09	0.21	0.19	0.05	-0.09	-0.29	-0.18	0.02	-0.18	-0.25	-0.09	0.15	-0.25
YER127W	0.11	-0.64	-0.67	0.43	-0.03	0.11	0.23	0.23	0.11	0.06	-0.22	0.22	0.32	-0.16	-0.51	-0.03	0.28	0.14
YER126C	0.33	-0.51	-0.47	-0.37	-0.14	-0.02	0.26	0.31	0.37	-0.08	-0.06	0.09	0.08	0.06	-0.06	0.1	0.17	-0.05
YER125W	0.18	0.11	0.18	0.27	0.06	-0.02	0.1	-0.07	-0.18	-0.1	-0.29	-0.11	-0.11	-0.1	-0.11	0.09	0.06	0.06
YER124C	0.92	0.19	-0.12	-1.24	-0.29	-0.74	-0.69	-1.08	-1.63	-1.08	0.31	1.59	1.36	0.92	0.71	0.58	0.53	-0.24
YER123W	0.07	-0.13	-0.18	0.01	-0.08	-0.13	0.14	-0.1	0.0	0.03	-0.11	-0.02	0.06	-0.16	-0.23	-0.08	0.04	0.9
YER122C	-0.32	-0.27	-0.31	0.15	-0.01	0.34	0.03	0.32	0.11	-0.29	-0.13	-0.19	-0.21	0.15	0.22	0.36	-0.05	0.09
YER121W	-0.32	0.27	0.17	-0.07	-0.36	0.34	-0.2	0.13	0.13	0.0	-0.45	0.07	0.14	0.43	-0.52	0.05	0.07	0.11
YER120W	-0.15	-0.2	-0.42	-0.09	-0.29	0.1	0.0	0.4	0.29	-0.35	0.11	-0.03	0.0	-0.06	0.24	0.31	0.11	0.04
YER119C-A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YER119C	-0.47	0.33	0.12	0.12	-0.15	0.47	-0.11	-0.07	0.13	0.23	-0.13	-0.13	-0.03	-0.2	-0.07	0.1	-0.05	-0.09
YER118C	-0.42	-0.3	-0.13	0.6	0.27	0.41	-0.17	0.03	-0.05	-0.75	-0.1	0.2	0.38	0.23	0.24	0.12	-0.23	-0.33
YER117W	-0.26	0.02	-0.28	-0.02	-0.44	0.1	-0.38	0.17	0.11	0.31	0.15	-0.12	0.09	-0.01	0.12	0.15	0.12	0.15
YER116C	-0.22	0.19	-0.04	-0.14	0.02	0.05	-0.11	0.21	0.46	-0.08	0.01	-0.09	-0.05	-0.12	-0.06	0.11	-0.2	0.06
YER115C	-0.32	0.19	-0.3	-0.01	-0.35	0.33	-0.23	0.25	0.14	0.24	-0.25	-0.1	0.08	-0.05	-0.08	0.33	0.225	0.12
YER114C	-0.54	-0.19	-0.8	-0.23	-0.05	0.15	-0.13	0.13	0.41	-0.08	0.15	-0.03	0.0	0.22	0.36	0.58	-0.11	0.15
YER113C	-0.48	0.16	0.02	0.36	-0.31	0.51	-0.41	-0.03	-0.02	0.18	-0.05	0.06	0.05	-0.06	-0.13	0.16	-0.01	0.02
YER112W	-0.22	0.17	-0.08	0.12	-0.1	0.14	-0.32	0.11	0.11	-0.27	0.11	0.17	0.18	-0.16	-0.07	0.11	0.04	-0.04
YER111C	-1.21	-0.26	1.36	1.37	0.54	0.18	-0.85	-0.82	-0.75	0.07	0.89	0.78	0.37	-0.19	-0.11	-0.54	-0.34	-0.47
YER110C	0.07	-0.66	-0.39	-0.56	-0.15	-0.25	0.19	0.09	0.44	0.28	0.12	0.19	0.05	-0.01	0.29	0.1	0.23	-0.03
YER109C	-0.22	0.02	-0.25	0.29	-0.03	0.38	-0.03	0.1	-0.16	-0.08	-0.22	0.07	-0.13	0.11	-0.27	0.11	0.21	0.07
YER108C	-0.46	-0.24	-0.04	-0.03	-0.04	-0.13	0.3	0.28	-0.03	-0.03	-0.09	0.05	0.13	0.19	-0.09	0.05	0.11	0.05
YER107C	-0.02	0.49	0.01	0.14	-0.38	0.1	0.03	-0.11	-0.01	-0.16	0.09	-0.26	0.38	-0.38	-0.01	0.12	0.1	-0.13
YER106W	0.13	0.115	0.1	0.14	0.18	0.02	0.18	0.3	0.09	-0.08	-0.36	0.12	0.12	0.07	-0.47	-0.32	-0.01	-0.06
YER105C	-0.27	-0.57	-0.16	-0.18	0.06	0.34	-0.05	0.0	0.09	-0.12	0.25	-0.02	-0.14	-0.09	0.54	0.25	0.16	-0.09
YER104W	-0.2	-0.22	0.1	0.04	0.08	0.0	0.17	0.14	-0.01	-0.08	-0.22	0.17	0.18	-0.15	0.0	-0.15	0.18	-0.04
YER103W	0.19	-0.14	0.11	0.31	0.37	0.21	0.38	-0.03	0.11	0.0	-0.2	-0.14	-0.22	-0.29	-0.2	-0.225	-0.25	-0.2
YER102W	0.21	-0.16	-0.16	-0.14	-0.18	-0.27	-0.02	0.0	0.15	-0.03	0.09	-0.13	0.07	-0.1	0.35	0.12	0.25	-0.04
YER101C	0.11	0.13	0.04	-0.07	0.07	0.01	0.11	0.08	0.06	0.04	-0.14	-0.04	0.02	-0.15	-0.09	-0.065	-0.04	-0.09
YER100W	0.1	-0.05	-0.11	-0.14	0.06	0.15	0.25	0.11	0.06	0.02	-0.09	-0.08	0.12	-0.26	-0.06	-0.15	0.2	-0.12
YER099C	0.18	0.13	-0.23	-0.31	-0.01	-0.44	-0.05	-0.27	0.16	0.0	0.6	-0.12	0.42	-0.08	0.42	0.12	-0.18	-0.21
YER098W	-0.38	0.09	0.17	0.13	-0.11	-0.05	-0.33	0.07	0.02	-0.19	0.32	0.17	0.05	-0.05	0.07	0.27	-0.22	-0.03
YER097W	-0.23	0.07	0.15	0.22	-0.53	0.33	-0.48	0.25	0.09	0.16	-0.1	0.05	0.09	-0.01	-0.37	0.37	0.0	-0.05
YER096W	-0.03	-0.11	-0.02	0.03	-0.05	0.16	-0.31	0.03	0.2	-0.27	0.25	0.04	0.06	-0.03	-0.03	0.3	-0.22	-0.02
YER095W	-0.57	0.42	1.03	1.35	0.64	0.42	-0.4	-0.9	-0.73	-0.47	0.2	0.78	0.28	-0.05	-0.11	-0.13	-0.87	-0.9
YER094C	-0.06	0.01	0.14	0.19	-0.1	0.18	-0.13	0.1	0.09	-0.4	0.29	0.09	0.02	-0.18	-0.03	0.01	-0.1	-0.21
YER093C-A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YER093C	-0.14	0.0	0.0	0.22	0.07	-0.12	-0.23	0.01	0.26	-0.37	1.13	-0.4	-0.4	-0.3	0.63	-0.26	0.1	-0.2
YER092W	-0.06	-0.14	0.03	0.1	-0.22	0.33	-0.24	0.24	-0.01	-0.38	0.23	-0.03	-0.01	-0.15	0.1	0.19	0.03	-0.01
YER091C	-0.36	0.69	0.22	-0.55	-1.01	0.58	0.66	0.74	0.27	-0.21	-0.08	-0.21	-0.49	-0.53	-0.1	0.53	-0.16	0.0
YER090W	-0.08	-0.25	-0.1	-0.08	-0.21	0.06	-0.08	0.02	0.25	-0.2	0.41	-0.07	0.07	-0.04	0.05	0.3	-0.2	0.15
YER089C	0.2	-0.18	-0.16	-0.3	-0.09	-0.44	0.1	-0.3	0.02	-0.07	-0.1	0.09	0.2	0.0	0.14	0.74	0.14	0.02
YER088C	0.18	-0.075	-0.33	-0.2	-0.3	-0.25	-0.13	0.03	0.15	-0.23	0.38	0.05	0.31	0.11	0.07	0.33	-0.18	0.03
YER087W	-0.14	0.12	0.13	0.43	-0.28	0.58	-0.34	-0.08	-0.05	0.04	-0.08	-0.08	-0.17	-0.21	-0.12	0.18	0.0	0.06
YER087C-A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YER086W	0.08	-0.46	-0.16	-0.18	0.26	-0.18	0.41	-0.18	0.1	0.12	-0.14	0.02	0.15	-0.04	0.22	-0.01	0.03	-0.05
YER085C	0.15	0.26	0.37	0.54	0.03	-0.12	0.16	0.31	0.1	-0.02	-0.26	-0.1	0.06	-0.19	-0.81	-0.21	0.09	-0.1
YER084W	-0.08	0.2	0.11	0.11	0.04	-0.12	0.09	0.0	-0.08	0.21	-0.18	-0.02	-0.05	-0.07	-0.1	0.0	-0.1	0.04
YER083C	0.24	-0.15	0.18	0.11	0.13	-0.22	0.34	-0.15	0.18	0.07	-0.06	-0.22	0.23	-0.24	0.08	-0.32	0.04	-0.24
YER082C	0.24	-0.53	-0.46	-0.03	0.15	0.285	0.42	0.12	0.18	0.37	-0.91	0.18	-0.03	-0.03	-0.06	-0.03	0.22	0.19
YER081W	-0.23	0.53	0.65	0.33	-0.12	0.02	0.33	0.1	0.05	-0.24	-0.31	-0.4	-0.09	-0.21	0.13	-0.23	-0.03	-0.28
YER080W	0.28	0.0	0.32	0.33	0.11	0.1	0.08	-0.26	-0.16	0.29	-0.23	0.21	-0.44	0.01	-0.24	-0.1	-0.21	-0.09
YER079W	0.36	0.53	0.4	-0.21	-0.13	-0.11	0.19	-0.13	0.11	0.2	-0.13	-0.29	0.06	-0.59	0.08	-0.25	0.19	-0.25
YER078C	0.07	-0.09	0.45	0.22	0.06	-0.44	-0.04	-0.3	-0.04	0.24	0.05	0.22	-0.15	0.0	0.0	-0.07	-0.1	-0.09
YER077C	0.09	-0.35	-0.24	-0.19	0.07	0.255	0.44	0.04	0.17	0.04	-0.06	-0.19	0.14	-0.19	0.07	0.11	-0.02	0.06
YER076C	0.09	0.31	0.3	-0.02	-0.2	-0.05	0.05	-0.2	-0.09	0.12	-0.12	-0.03	-0.11	-0.17	0.31	-0.12	-0.09	0.02
YER075C	0.04	0.46	-0.28	0.18	-0.35	-0.19	-0.11	0.18	-0.05	-0.17	-0.24	0.23	0.18	0.04	0.18	-0.15	0.08	0.0
YER074W	0.3	-0.15	-0.37	0.01	-0.66	0.05	-0.44	-0.15	0.13	0.31	0.08	-0.04	0.11	-0.15	0.22	0.35	0.17	0.22
YER073W	-0.04	-0.025	-0.01	0.03	0.01	-0.03	-0.15	-0.26	0.12	-0.4	0.56	0.06	0.22	-0.01	0.08	0.25	-0.35	-0.07
YER072W	-0.78	-0.31	-0.21	-0.13	-0.2	0.06	-0.05	0.29	0.41	0.47	0.57	0.21	0.23	-0.06	0.07	-0.23	-0.09	-0.24
YER071C	-0.63	0.21	0.35	0.77	-0.05	0.08	-0.34	-0.07	-0.08	-0.61	0.14	0.34	0.42	-0.02	-0.08	-0.15	-0.1	-0.17
YER070W	-1.46	-0.76	1.08	1.5	0.74	0.47	-0.7	-0.68	-1.03	-0.55	0.35	1.24	0.73	0.2	0.0	0.11	-0.53	-0.72
YER069W	-0.17	0.21	-0.08	-0.15	-0.38	-0.15	-0.4	-0.1	0.06	-0.38	0.19	0.01	0.08	0.28	0.22	0.44	0.39	0.34
YER068W	-0.5	0.03	-0.07	0.22	-0.36	0.49	-0.4	-0.03	-0.04	0.32	0.12	0.08	-0.1	-0.03	-0.15	0.28	0.04	0.09
YER067W	0.04	0.125	0.21	-0.01	-0.15	0.25	-0.56	0.02	-0.06	-0.27	0.1	0.17	0.2	0.09	-0.06	0.09	0.04	-0.1
YER066W	-0.38	0.01	0.19	0.1	-0.1	0.21	-0.24	0.07	-0.1	0.13	0.07	0.07	-0.06	-0.02	-0.17	0.11	0.11	0.02
YER066C-A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YER065C	-0.56	0.15	0.0	0.08	0.08	0.11	-0.22	0.23	0.24	-0.18	-0.11	-0.2	-0.02	-0.14	0.12	0.36	-0.05	0.11
YER064C	-1.02	0.13	-0.35	-0.13	-0.06	0.52	-0.16	0.08	0.15	0.13	0.1	0.01	-0.09	0.0	0.15	0.38	0.08	0.08
YER063W	-0.41	-0.335	-0.26	-0.12	-0.28	0.07	0.26	0.22	-0.12	0.0	-0.18	0.03	0.02	0.0	0.19	0.05	0.47	0.05
YER062C	-0.12	0.18	0.3	0.33	0.14	0.21	0.33	0.22	0.0	0.26	-0.2	-0.17	-0.4	-0.3	-0.34	-0.14	0.11	-0.4
YER061C	0.3	1.0	-0.18	-0.47	-0.22	-0.04	0.29	0.18	0.08	-0.02	-0.18	-0.18	-0.18	-0.47	-0.01	-0.1	0.33	-0.12
YER060W-A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YER060W	-0.22	0.03	-0.14	0.36	0.2	0.26	0.14	-0.13	0.09	-0.35	0.78	-0.42	-0.1	-0.34	0.74	0.03	-0.42	-0.5
YER059W	-0.26	0.18	-0.15	-0.17	-0.12	-0.32	0.05	-0.1	-0.21	2.3	-0.24	-0.13	-0.12	-0.3	-0.15	-0.36	0.09	0.01
YER058W	-0.08	0.23	0.24	0.09	0.07	0.04	0.03	-0.02	-0.08	0.21	-0.13	0.13	-0.27	0.0	-0.33	-0.24	0.06	0.04
YER057C	0.41	0.28	0.3	0.22	0.04	0.11	0.35	0.15	0.07	-0.23	-0.01	-0.26	0.07	-0.53	-0.05	-0.57	0.17	-0.53
YER056C-A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YER056C	0.14	0.02	-0.26	-0.12	0.27	-0.19	0.33	0.0	0.02	0.28	-0.13	0.17	0.17	-0.06	-0.34	-0.39	0.13	-0.05
YER055C	0.08	0.06	-0.02	-0.24	-0.355	-0.47	-0.02	0.03	0.21	-0.1	0.1	-0.13	0.08	-0.16	0.05	-0.04	0.49	0.08
YER054C	0.04	-0.04	0.21	-0.15	-0.01	0.03	-0.06	-0.09	-0.32	-0.15	-0.35	-0.28	-0.24	0.06	0.73	0.39	0.33	-0.09
YER053C	0.75	0.98	0.44	0.9	0.24	-0.42	-0.18	-0.37	-0.26	-0.08	-0.3	-0.32	0.03	-0.41	0.19	-0.52	-0.05	-0.39
YER052C	0.1	0.27	0.37	0.18	0.03	0.13	-0.25	0.1	-0.12	-0.41	0.0	-0.02	-0.01	-0.07	-0.24	0.07	-0.13	0.01
YER051W	-0.48	0.04	-0.09	-0.11	-0.19	0.2	-0.35	-0.09	0.09	0.29	0.27	0.07	-0.09	-0.04	-0.01	0.24	-0.01	0.25
YER050C	-0.11	0.65	-0.12	0.13	-0.33	0.15	-0.18	0.23	0.07	-0.08	-0.01	0.03	-0.17	-0.18	0.03	0.15	-0.11	-0.18
YER049W	-0.13	-0.56	-0.54	-0.3	-0.23	0.26	-0.29	0.35	0.32	0.26	0.34	0.12	0.04	-0.01	-0.05	0.15	0.2	0.08
YER048C	-0.31	0.14	-0.33	0.37	-0.16	0.33	-0.28	0.26	-0.01	-0.02	0.08	0.04	-0.14	-0.02	-0.14	0.21	-0.1	0.09
YER047C	-0.17	0.12	-0.16	0.17	-0.08	0.25	-0.52	0.14	0.15	0.31	0.28	0.25	-0.23	-0.08	-0.82	0.14	0.17	0.09
YER046W	-0.04	0.39	0.27	0.18	0.0	0.06	-0.46	0.09	0.05	-0.3	-0.01	0.06	0.24	-0.11	-0.09	-0.01	-0.25	-0.09
YER045C	0.08	0.31	-0.25	-0.145	-0.04	0.23	-0.32	0.15	0.04	0.09	0.12	0.09	-0.04	0.02	-0.38	0.12	-0.055	-0.23
YER044C-A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YER044C	0.06	0.38	0.66	0.26	0.26	0.1	-0.33	0.09	0.15	-0.18	0.19	-0.31	-0.04	-0.33	-0.12	0.13	-0.35	-0.62
YER043C	-0.12	-0.34	-0.15	-0.31	0.09	-0.28	-0.52	0.25	0.38	0.12	0.85	0.08	0.08	0.04	0.43	0.53	-0.57	-0.57
YER042W	-0.38	1.0	-0.3	-0.16	-0.51	0.35	0.22	0.6	0.32	-0.04	-0.07	-0.23	-0.28	-0.4	-0.38	0.0	0.08	0.19
YER041W	-0.05	-0.04	0.32	-0.18	0.2	0.05	0.17	0.09	0.15	-0.01	-0.33	0.07	-0.16	-0.01	-0.02	0.09	0.04	-0.39
YER040W	-0.12	0.07	-0.1	-0.1	-0.07	-0.04	0.05	0.05	0.01	-0.01	-0.02	-0.04	0.18	-0.14	-0.1	0.05	0.32	-0.07
YER039C	-0.14	0.135	0.41	-0.17	0.32	-0.05	0.17	0.01	0.03	-0.22	-0.25	-0.08	0.0	0.28	-0.12	0.01	-0.17	-0.03
YER038C	0.24	0.19	-0.16	-0.16	-0.09	-0.02	0.01	0.09	0.1	0.05	-0.14	-0.07	0.19	-0.23	-0.16	-0.21	0.29	0.01
YER037W	0.19	0.19	0.2	-0.13	0.54	-0.16	0.04	0.07	0.11	-0.05	-0.28	-0.02	-0.07	-0.05	-0.25	-0.16	0.01	-0.16
YER036C	0.21	-0.35	-0.39	-0.28	-0.24	-0.2	0.07	0.05	0.23	0.12	0.09	0.13	0.18	-0.1	0.06	0.06	0.09	0.05
YER035W	0.52	0.54	0.44	0.04	0.27	-0.01	0.05	0.01	-0.13	-0.16	-0.135	-0.11	-0.39	-0.35	-0.22	-0.28	0.03	-0.25
YER034W	0.32	0.07	-0.02	-0.12	-0.015	0.09	0.2	0.09	0.05	0.12	-0.2	-0.18	0.02	-0.43	-0.24	-0.23	0.34	0.12
YER033C	0.06	-0.14	0.19	-0.28	0.46	0.08	0.0	0.08	0.05	0.12	0.57	-0.06	-0.32	-0.3	0.1	-0.28	0.1	-0.43
YER032W	-0.79	-1.01	-0.6	-0.25	0.27	0.75	0.53	0.47	0.17	-0.3	-0.34	-0.5	-0.01	0.09	0.64	0.38	0.49	0.02
YER031C	-0.03	-0.18	-0.06	-0.14	-0.15	-0.81	0.21	0.25	0.46	-0.08	0.16	0.12	-0.1	-0.06	0.17	0.0	0.45	-0.2
YER030W	-0.09	-0.06	-0.3	0.01	0.1	0.19	0.17	0.11	0.15	0.03	-0.14	-0.05	0.09	-0.26	-0.14	-0.13	0.34	0.07
YER029C	-0.16	-0.39	-0.09	0.1	0.1	0.13	-0.41	0.15	0.28	-0.18	0.6	-0.08	-0.02	-0.06	0.0	0.39	-0.28	-0.08
YER028C	-0.11	0.25	-0.31	0.29	-0.21	0.32	-0.15	0.03	0.21	0.16	0.05	-0.13	0.1	-0.11	-0.62	0.25	0.0	0.03
YER027C	-0.28	-0.27	0.24	0.07	0.29	0.05	-0.35	0.06	0.17	-0.09	0.46	0.1	0.07	-0.04	0.06	0.16	-0.32	-0.4
YER026C	-0.52	-0.1	0.32	0.29	-0.06	0.36	0.16	0.23	0.1	0.08	0.06	-0.29	-0.08	-0.31	0.02	-0.18	-0.175	-0.17
YER025W	0.22	-0.42	-0.16	-0.21	-0.24	-0.05	-0.5	0.14	0.3	0.13	0.51	0.24	-0.09	0.06	0.07	0.44	-0.26	-0.18
YER024W	-0.47	-0.195	0.08	0.19	-0.29	0.37	-0.19	0.25	0.15	0.1	0.13	-0.12	-0.08	-0.195	-0.31	0.21	-0.01	0.0
YER023W	-0.13	-0.24	-0.04	0.05	0.11	0.09	-0.48	0.35	0.31	-0.13	0.29	-0.03	-0.13	-0.1	0.14	0.3	-0.08	-0.29
YER022W	-0.2	0.05	-0.22	-0.29	-0.36	0.09	-0.22	0.06	0.09	0.3	0.21	0.0	0.09	0.01	-0.12	0.28	-0.16	0.08
YER021W	0.07	0.05	0.23	0.0	0.01	0.01	-0.31	0.24	0.38	0.0	0.04	0.08	-0.16	-0.24	0.03	0.07	-0.22	-0.24
YER020W	0.12	0.17	-0.14	-0.05	-0.24	-0.22	-0.49	0.0	-0.02	0.47	0.41	0.18	0.05	0.04	-0.26	0.21	-0.13	-0.09
YER019W	0.96	0.07	-0.03	-0.25	0.11	0.23	-0.23	0.11	-0.09	-0.72	-0.01	-0.09	0.01	-0.07	0.28	0.39	-0.14	-0.52
YER019C-A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YER018C	0.52	-0.02	0.14	-0.11	0.07	-0.5	0.4	0.26	-0.13	-0.34	-0.16	-0.26	-0.13	0.06	0.26	-0.06	0.1	-0.11
YER017C	-0.34	-0.34	0.28	0.09	0.04	0.14	-0.12	-0.34	0.04	-0.4	0.95	-0.23	-0.13	-0.33	0.64	0.09	0.15	-0.17
YER016W	0.04	-0.38	0.11	-0.06	0.29	0.31	0.16	-0.14	-0.35	-0.24	0.19	0.11	-0.02	0.03	0.16	-0.08	0.07	-0.22
YER015W	0.31	0.35	0.01	-0.13	0.18	-0.24	0.11	-0.1	0.1	-0.07	0.01	0.09	0.07	-0.3	-0.08	-0.24	0.04	-0.12
YER014W	-0.24	-0.47	0.31	0.87	0.26	-0.07	0.28	0.11	-0.12	-0.16	-0.1	0.04	-0.07	-0.07	-0.16	-0.1	-0.195	-0.29
YER013W	0.3	0.22	-0.02	0.18	0.06	-0.3	-0.23	-0.17	-0.15	0.14	0.46	-0.4	-0.22	-0.23	1.04	-0.11	-0.12	-0.46
